action,talker,words
narration,ナレーター,午後3時の会議室。新規事業プロジェクトの会議が行われていた。
talk,田中常務,で、結局どこから手をつけるんだ？
wait,,2
talk,加藤,まず市場調査から...
talk,田中常務,時間がないんだよ。3ヶ月でプロトタイプを作って、半年後にはサービスインしなきゃならない。優先順位を明確にしてくれ。
wait,,1.5
narration,ナレーター,加藤は資料を見つめた。やるべきことは山積みだった。
wait,,2
narration,ナレーター,その夜、深夜のオフィス。加藤は一人残って悩んでいた。
talk,山田,加藤君、まだいたのか。何をそんなに悩んでるんだ？
talk,加藤,新規プロジェクトの進め方なんです。やることが多すぎて、何から手をつけていいか...
talk,山田,そういう時は、SWOT分析をやってみたらどうだ？
talk,加藤,SWOT分析？
talk,山田,Strength、強み。Weakness、弱み。Opportunity、機会。Threat、脅威。この4つの要素で現状を整理する手法だよ。
wait,,1
talk,山田,特に新規事業では、強みと機会を掛け合わせた「SO戦略」が効果的なんだ。
talk,山田,自社の強みを活かして、外部環境の機会を最大限に捉える。これが積極化戦略の基本だ。
wait,,2
narration,ナレーター,翌朝の企画室。加藤は早朝からSWOT分析に取り組んだ。
talk,加藤,強み...IoT機器開発の10年の実績、ペット業界との強固なパートナーシップ...
wait,,1
talk,加藤,機会...ペット飼育世帯の増加、共働き世帯の増加によるペット見守りニーズ...
wait,,2
talk,加藤,そうか、AIアルゴリズムは後回しでもいいんだ。まずは既存の技術で見守りカメラを作って、パートナー企業経由で販売する。
wait,,1.5
narration,ナレーター,午前10時の役員会議室。
talk,田中常務,なるほど、段階的アプローチか。
talk,加藤,SWOT分析の結果、まず当社の強みであるIoT技術とペット業界とのコネクションを最大限活用します。
talk,加藤,第一段階では基本的な見守りカメラから始めて、市場の反応を見ながらAI機能を段階的に追加していく戦略です。
talk,田中常務,予算配分は？
talk,加藤,最初の3ヶ月は既存技術の応用に80%のリソースを集中。AIアルゴリズム開発は20%で基礎研究を進め、第二段階で本格投入します。
talk,田中常務,よし、それで行こう。強みを活かした現実的な戦略だ。
wait,,2
narration,ナレーター,会議が終わると、加藤は山田に感謝のメールを送った。
talk,山田,SWOT分析のコツは、全部やろうとしないこと。強みと機会の交点を見つけたら、そこに集中する勇気を持つことだよ。
wait,,1
talk,山田,あ、でも一つ忘れてない？君の一番の強みは、夜中まで悩み続ける執念深さだったりして。
talk,加藤,はは、それは強みなんでしょうか...
wait,,2
narration,ナレーター,こうして加藤は、SWOT分析を活用した戦略立案の重要性を学んだのだった。
